skill_name,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option,marks,is_active
Deep Learning,Easy,What is multiclass classification?,One class,Many classes,Regression,Clustering,B,1,TRUE
Deep Learning,Easy,Why normalize input data?,Improve training stability,Reduce rows,Increase labels,Delete features,A,1,TRUE
Deep Learning,Medium,What is backpropagation?,Prediction,Algorithm to update weights,Data cleaning,Encoding,B,1,TRUE
Deep Learning,Medium,Which optimizer adapts learning rates automatically?,SGD,Adam,RMS,None,B,1,TRUE
Deep Learning,Medium,What is vanishing gradient?,Gradients become very small,Large gradients,Missing data,GPU error,A,1,TRUE
Deep Learning,Medium,What problem does ReLU help reduce?,Overfitting,Vanishing gradients,Data leakage,Class imbalance,B,1,TRUE
Deep Learning,Medium,What is batch normalization?,Normalize activations,Normalize dataset only,Optimizer,Loss,A,1,TRUE
Deep Learning,Medium,CNN convolution layers primarily learn?,Image features,Database tables,Text only,Loss,A,1,TRUE
Deep Learning,Medium,Pooling layers are mainly used to?,Increase dimensions,Reduce spatial dimensions,Increase parameters,Normalize,B,1,TRUE
Deep Learning,Medium,Max pooling selects?,Average value,Largest value,Smallest value,Random value,B,1,TRUE
Deep Learning,Medium,Which layer converts feature maps into vectors?,Flatten,Pooling,Dropout,Dense,A,1,TRUE
Deep Learning,Medium,Dense layer is also called?,Fully Connected Layer,Input Layer,Pooling Layer,Conv Layer,A,1,TRUE
Deep Learning,Medium,What is learning rate?,Dataset size,Weight update step size,Epoch count,Neuron count,B,1,TRUE
Deep Learning,Medium,Too high learning rate may?,Improve always,Cause divergence,Reduce memory,Increase labels,B,1,TRUE
Deep Learning,Medium,What is early stopping?,Stop when validation stops improving,Delete epochs,Skip testing,Freeze layers,A,1,TRUE
Deep Learning,Medium,Transfer learning means?,Training from scratch,Using a pretrained model,Deleting layers,Scaling inputs,B,1,TRUE
Deep Learning,Medium,Which pretrained CNN is popular?,ResNet,Linear Regression,KNN,Naive Bayes,A,1,TRUE
Deep Learning,Medium,RNN is suitable for?,Sequential data,Images only,Tables,Clustering,A,1,TRUE
Deep Learning,Medium,LSTM improves RNN by?,Handling long-term dependencies,Reducing dataset,Removing neurons,Scaling data,A,1,TRUE
Deep Learning,Medium,GRU is?,Simplified LSTM,Optimizer,Loss,Pooling,A,1,TRUE
Deep Learning,Medium,What does dropout randomly disable?,Training data,Neurons,Epochs,Labels,B,1,TRUE
Deep Learning,Medium,Data augmentation helps?,Increase training diversity,Reduce images,Delete labels,Scale loss,A,1,TRUE
Deep Learning,Medium,What is one-hot encoding?,Binary vector representation,Scaling,Normalization,Pooling,A,1,TRUE
Deep Learning,Medium,Binary cross-entropy is used for?,Binary classification,Regression,Clustering,PCA,A,1,TRUE
Deep Learning,Medium,Categorical cross-entropy is used for?,Regression,Multi-class classification,Clustering,Detection,B,1,TRUE
Deep Learning,Medium,Which metric is common for classification?,Accuracy,RMSE,MAE,MSE,A,1,TRUE
Deep Learning,Medium,Fine-tuning means?,Training selected pretrained layers,Deleting layers,Scaling data,Encoding,A,1,TRUE
Deep Learning,Medium,Which framework uses tensors extensively?,TensorFlow,Flask,Django,SQLite,A,1,TRUE
Deep Learning,Medium,What is inference latency?,Prediction response time,Epoch count,Loss,Accuracy,A,1,TRUE
Deep Learning,Medium,Checkpointing saves?,Model state,Dataset,GPU,Optimizer only,A,1,TRUE
Deep Learning,Medium,Validation data is used to?,Tune model,Train model,Test final only,Encode,A,1,TRUE
Deep Learning,Medium,Test data should be used?,Once for final evaluation,Every epoch,For training,For augmentation,A,1,TRUE
Deep Learning,Hard,What is self-attention used in?,Transformers,CNN,KNN,Decision Trees,A,1,TRUE
Deep Learning,Hard,Which architecture introduced self-attention?,AlexNet,Transformer,LeNet,VGG,B,1,TRUE
Deep Learning,Hard,What does BERT stand for?,Bidirectional Encoder Representations from Transformers,Basic Encoder Representation Training,Binary Encoder,None,A,1,TRUE
Deep Learning,Hard,GPT is primarily based on?,Transformer Decoder,CNN,RNN,SVM,A,1,TRUE
Deep Learning,Hard,Residual connections help?,Train deeper networks,Reduce labels,Normalize images,Encode data,A,1,TRUE
Deep Learning,Hard,What is exploding gradient?,Very large gradients,Small gradients,Missing values,GPU failure,A,1,TRUE
Deep Learning,Hard,Gradient clipping is used to?,Limit large gradients,Normalize data,Encode labels,Pool features,A,1,TRUE
Deep Learning,Hard,Vision Transformer processes images as?,Patches,Pixels only,Rows,Channels,A,1,TRUE
Deep Learning,Hard,Attention score measures?,Importance between tokens,Learning rate,Loss,Epoch,A,1,TRUE
Deep Learning,Hard,Positional encoding provides?,Order information,Normalization,Pooling,Regularization,A,1,TRUE
Deep Learning,Hard,Which optimizer often outperforms SGD in practice?,AdamW,Bubble,DFS,Merge,A,1,TRUE
Deep Learning,Hard,Weight decay is a form of?,Regularization,Pooling,Activation,Encoding,A,1,TRUE
Deep Learning,Hard,Mixed precision training aims to?,Speed up training,Reduce labels,Increase epochs,Remove layers,A,1,TRUE
Deep Learning,Hard,Distributed training allows?,Multiple devices,One neuron,Single epoch,Encoding,A,1,TRUE
Deep Learning,Hard,Knowledge distillation transfers?,Teacher model knowledge,Database,CSV,GPU,A,1,TRUE
Deep Learning,Hard,What is beam search?,Sequence decoding strategy,Optimizer,Activation,Pooling,A,1,TRUE
Deep Learning,Hard,Teacher forcing is used in?,Sequence models,CNN,Regression,Clustering,A,1,TRUE
Deep Learning,Hard,Masked language modeling is used by?,BERT,GPT,ResNet,LeNet,A,1,TRUE
Deep Learning,Hard,Causal language modeling is used by?,GPT,BERT,VGG,AlexNet,A,1,TRUE
Deep Learning,Hard,BLEU score evaluates?,Machine translation,Regression,Clustering,Detection,A,1,TRUE
Deep Learning,Hard,IoU metric is common in?,Object Detection,Regression,Clustering,PCA,A,1,TRUE
Deep Learning,Hard,mAP evaluates?,Detection models,Regression,Classification only,Clustering,A,1,TRUE
Deep Learning,Hard,Dice coefficient is common for?,Segmentation,Regression,Ranking,Clustering,A,1,TRUE
Deep Learning,Hard,U-Net is popular for?,Image Segmentation,Translation,Regression,Recommendation,A,1,TRUE
Deep Learning,Hard,YOLO is used for?,Object Detection,Regression,Clustering,OCR,A,1,TRUE
Deep Learning,Hard,GAN consists of?,Generator and Discriminator,CNN and RNN,Encoder and Decoder only,Optimizer and Loss,A,1,TRUE
Deep Learning,Hard,Autoencoders are mainly used for?,Representation learning,Sorting,Databases,Networking,A,1,TRUE
Deep Learning,Hard,Latent space refers to?,Compressed feature representation,Dataset,Optimizer,GPU memory,A,1,TRUE
Deep Learning,Hard,Model quantization aims to?,Reduce model size,Increase labels,Add layers,Normalize inputs,A,1,TRUE
Deep Learning,Hard,ONNX is commonly used for?,Model interoperability,Data cleaning,Visualization,Training labels,A,1,TRUE
