skill_name,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,marks,is_active
Machine Learning,Medium,What is F1-score?,Average of precision and recall,Training loss,Regression metric,Distance,A,F1 balances precision and recall.,1,True
Machine Learning,Medium,What does PCA do?,Classification,Dimensionality reduction,Clustering,Scaling,B,PCA reduces features.,1,True
Machine Learning,Medium,Which ensemble method builds many trees independently?,Random Forest,AdaBoost,KNN,SVM,A,Random Forest uses bagging.,1,True
Machine Learning,Medium,Which algorithm finds a maximum margin separator?,SVM,KNN,Naive Bayes,K-Means,A,SVM maximizes margin.,1,True
Machine Learning,Medium,What is hyperparameter tuning?,Adjusting learned weights,Choosing model settings,Cleaning data,Testing,B,Hyperparameters are set before training.,1,True
Machine Learning,Medium,What is a confusion matrix used for?,Regression,Classification evaluation,Clustering,Scaling,B,"Shows TP,FP,TN,FN.",1,True
Machine Learning,Medium,What is bias?,Error from oversimplification,Variance,Learning rate,Loss,A,High bias underfits.,1,True
Machine Learning,Medium,What is variance?,Sensitivity to training data,Average error,Scaling,Encoding,A,High variance overfits.,1,True
Machine Learning,Medium,Bagging mainly reduces?,Bias,Variance,Features,Rows,B,Bagging reduces variance.,1,True
Machine Learning,Medium,Boosting mainly reduces?,Bias,Rows,Memory,Features,A,Boosting improves weak learners.,1,True
Machine Learning,Medium,Which encoding converts categories to binary columns?,Label Encoding,One-Hot Encoding,Scaling,PCA,B,One-hot creates indicator columns.,1,True
Machine Learning,Medium,What is stratified sampling?,Random rows,Preserves class distribution,Sorting,Filtering,B,Useful for imbalanced data.,1,True
Machine Learning,Medium,What is data leakage?,Information from test influences training,Missing data,Duplicate data,Scaling,A,Leakage causes optimistic results.,1,True
Machine Learning,Medium,What is regularization?,Reduce overfitting,Increase rows,Delete columns,Testing,A,Regularization penalizes complexity.,1,True
Machine Learning,Medium,L1 regularization can?,Remove features,Increase variance only,Scale data,Cluster,A,L1 promotes sparsity.,1,True
Machine Learning,Medium,L2 regularization mainly?,Penalizes large weights,Removes rows,Clusters,Encodes,A,L2 shrinks weights.,1,True
Machine Learning,Medium,What is gradient descent?,Optimization algorithm,Classifier,Clusterer,Scaler,A,Used to minimize loss.,1,True
Machine Learning,Medium,Learning rate controls?,Optimization step size,Dataset size,Accuracy,Features,A,Step size affects convergence.,1,True
Machine Learning,Medium,Which metric suits imbalanced classification?,Accuracy,F1-score,MAE,MSE,B,F1 is often more informative.,1,True
Machine Learning,Medium,What is ROC-AUC?,Ranking metric,Regression metric,Clustering score,Scaling,A,Measures discrimination.,1,True
Machine Learning,Medium,What is train-test split ratio commonly used?,50-50,80-20,10-90,5-95,B,80-20 is common.,1,True
Machine Learning,Medium,Why shuffle data?,Reduce bias,Increase rows,Remove labels,Scale,A,Randomization avoids ordering effects.,1,True
Machine Learning,Medium,What is early stopping?,Stop when validation stops improving,Skip training,Delete epochs,Scale data,A,Prevents overfitting.,1,True
Machine Learning,Medium,What is feature engineering?,Creating useful features,Deleting features,Scaling only,Testing,A,Improves model quality.,1,True
Machine Learning,Medium,What is model inference?,Making predictions,Training,Cleaning,Encoding,A,Inference is prediction.,1,True
Machine Learning,Hard,Which algorithm uses gradient boosting with regularization?,Random Forest,XGBoost,KNN,K-Means,B,XGBoost is a regularized boosting algorithm.,1,True
Machine Learning,Hard,What problem does class imbalance create?,Biased predictions,Faster training,Better accuracy,Lower memory,A,Models may ignore minority class.,1,True
Machine Learning,Hard,SMOTE is used for?,Oversampling minority class,Scaling,Encoding,Clustering,A,SMOTE creates synthetic samples.,1,True
Machine Learning,Hard,What is stacking?,Combine multiple models with a meta-model,Scaling,Encoding,Sampling,A,Stacking ensembles models.,1,True
Machine Learning,Hard,What is calibration?,Improve probability estimates,Scale features,Reduce rows,Cluster,A,Calibration adjusts predicted probabilities.,1,True
Machine Learning,Hard,What is Bayesian optimization used for?,Hyperparameter tuning,Scaling,Encoding,Visualization,A,Efficient search.,1,True
Machine Learning,Hard,Which validation is suitable for time series?,Random CV,TimeSeriesSplit,StratifiedKFold,LeaveOneOut,B,Respects temporal order.,1,True
Machine Learning,Hard,What is concept drift?,Data distribution changes over time,Missing data,Duplicate rows,Scaling,A,Models degrade as data changes.,1,True
Machine Learning,Hard,What is feature importance?,Measures feature contribution,Counts columns,Scales values,Encodes,A,Explains influence.,1,True
Machine Learning,Hard,SHAP is mainly used for?,Model explainability,Clustering,Scaling,Sampling,A,SHAP explains predictions.,1,True
Machine Learning,Hard,LIME is used for?,Local model explanations,Regression,Encoding,Cleaning,A,LIME explains individual predictions.,1,True
Machine Learning,Hard,What is data drift?,Input distribution changes,Loss decreases,Rows removed,Encoding,A,Production monitoring concept.,1,True
Machine Learning,Hard,Which metric is threshold independent?,Accuracy,ROC-AUC,Precision,Recall,B,ROC-AUC considers all thresholds.,1,True
Machine Learning,Hard,What is pruning in decision trees?,Reduce complexity,Add branches,Scale,Encode,A,Pruning prevents overfitting.,1,True
Machine Learning,Hard,Random Forest primarily uses?,Bagging,Boosting,Stacking,Blending,A,Independent trees.,1,True
Machine Learning,Hard,XGBoost primarily uses?,Boosting,Bagging,Clustering,Regression only,A,Sequential boosting.,1,True
Machine Learning,Hard,What is out-of-bag error?,Internal validation for bagging,Training error,Test error,Loss,A,Estimated from unused samples.,1,True
Machine Learning,Hard,Which algorithm handles nonlinear boundaries well?,SVM with RBF,Linear Regression,PCA,Naive Bayes,A,Kernel trick.,1,True
Machine Learning,Hard,Kernel trick is associated with?,SVM,KNN,K-Means,PCA,A,Maps to higher dimensions.,1,True
Machine Learning,Hard,What is pipeline in scikit-learn?,Chain preprocessing and model,Database,Visualization,CSV,A,Pipelines simplify workflows.,1,True
Machine Learning,Hard,GridSearchCV is used for?,Hyperparameter search,Scaling,Encoding,Prediction,A,Exhaustive search.,1,True
Machine Learning,Hard,RandomizedSearchCV differs by?,Random parameter sampling,Only regression,Only trees,Scaling,A,Samples combinations.,1,True
Machine Learning,Hard,What is permutation importance?,Feature importance method,Scaling,Encoding,Sampling,A,Measures drop in performance.,1,True
Machine Learning,Hard,What is reproducibility aided by?,Random seed,More epochs,Less data,Scaling,A,Seeds ensure repeatability.,1,True
Machine Learning,Hard,Why monitor models in production?,Detect drift,Increase RAM,Reduce CSV size,Encode,A,Performance changes over time.,1,True
Machine Learning,Hard,What is latency in ML serving?,Prediction response time,Training epochs,Rows,Features,A,Serving metric.,1,True
Machine Learning,Hard,What is batch inference?,Predict many records together,Online learning,Scaling,Encoding,A,Offline prediction.,1,True
Machine Learning,Hard,What is online inference?,Real-time prediction,Training only,Clustering,Sampling,A,Responds per request.,1,True
Machine Learning,Hard,Why version ML models?,Track changes,Increase accuracy,Reduce RAM,Scale features,A,Supports governance.,1,True
Machine Learning,Hard,MLflow is commonly used for?,Experiment tracking,Visualization only,Encoding,Sampling,A,Tracks models and experiments.,1,True
