skill_name,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,marks,is_active
SQL,Medium,Which subquery returns one value?,Scalar subquery,Correlated,Nested,Derived,A,Scalar returns single value.,1,True
SQL,Medium,HAVING is evaluated after?,SELECT,GROUP BY,ORDER BY,LIMIT,B,HAVING filters grouped rows.,1,True
SQL,Medium,Which constraint prevents duplicates?,CHECK,UNIQUE,DEFAULT,FOREIGN,B,UNIQUE disallows duplicates.,1,True
SQL,Medium,Foreign key ensures?,Sorting,Referential integrity,Indexing,Grouping,B,Links parent-child tables.,1,True
SQL,Medium,Which index speeds lookups?,PRIMARY,INDEX,VIEW,SEQUENCE,B,Indexes improve search.,1,True
SQL,Medium,Normal form reducing redundancy?,Normalization,Denormalization,Partitioning,Replication,A,Normalization reduces redundancy.,1,True
SQL,Medium,3NF removes?,Transitive dependency,Rows,Indexes,Constraints,A,Third normal form.,1,True
SQL,Medium,Which clause sorts descending?,DESC,DOWN,REVERSE,LOW,A,DESC descending.,1,True
SQL,Medium,COALESCE is used to?,Replace NULL,Count,Sort,Join,A,Returns first non-null.,1,True
SQL,Medium,CASE is used for?,Conditional logic,Loop,Join,Group,A,CASE provides conditions.,1,True
SQL,Medium,What is a view?,Stored query,Table copy,Index,Constraint,A,Views are virtual tables.,1,True
SQL,Medium,What is an index drawback?,Slower writes,Slower reads,Less storage,None,A,Indexes cost updates.,1,True
SQL,Medium,Which aggregate ignores NULL?,COUNT(col),COUNT(*),Both count nulls,None,A,COUNT(col) ignores NULL.,1,True
SQL,Medium,DELETE vs TRUNCATE?,DELETE logged row-wise,Same,TRUNCATE slower,DELETE removes table,A,DELETE logs each row.,1,True
SQL,Medium,What is a transaction?,Unit of work,Table,View,Index,A,Transaction groups operations.,1,True
SQL,Medium,COMMIT does?,Undo,Save changes,Delete,Rollback,B,COMMIT persists changes.,1,True
SQL,Medium,ROLLBACK does?,Save,Undo uncommitted,Delete,Group,B,ROLLBACK reverts.,1,True
SQL,Medium,ACID A stands for?,Availability,Atomicity,Accuracy,Association,B,Atomicity.,1,True
SQL,Medium,Which clause finds values in list?,LIKE,IN,BETWEEN,EXISTS,B,IN matches list.,1,True
SQL,Medium,EXISTS checks?,Subquery returns rows,Duplicates,Nulls,Indexes,A,EXISTS tests presence.,1,True
SQL,Medium,BETWEEN is?,Inclusive,Exclusive,Random,None,A,Includes boundaries.,1,True
SQL,Medium,Self join joins?,Table to itself,Two DBs,Views,Indexes,A,Self join.,1,True
SQL,Medium,Window functions operate over?,Set of rows,Columns only,Tables only,Indexes,A,Window of rows.,1,True
SQL,Medium,ROW_NUMBER() generates?,Sequential numbers,Random,IDs,Groups,A,Sequential ranking.,1,True
SQL,Hard,CTE stands for?,Common Table Expression,Computed Table Entry,Common Tuple Expression,Core Table Engine,A,WITH defines CTE.,1,True
SQL,Hard,Recursive CTE is used for?,Hierarchical queries,Sorting,Indexing,Views,A,Traverses hierarchies.,1,True
SQL,Hard,Which isolation level prevents dirty reads?,Read Uncommitted,Read Committed,Serializable,None,B,Read Committed blocks dirty reads.,1,True
SQL,Hard,Highest isolation level?,Read Committed,Repeatable Read,Serializable,Snapshot,C,Serializable strongest.,1,True
SQL,Hard,Window function for rank gaps?,ROW_NUMBER,RANK,DENSE_RANK,NTILE,B,RANK skips values.,1,True
SQL,Hard,Dense rank?,No gaps,Has gaps,Random,Sorted,A,DENSE_RANK no gaps.,1,True
SQL,Hard,LEAD() accesses?,Previous row,Next row,Current row,Last row,B,LEAD reads following row.,1,True
SQL,Hard,LAG() accesses?,Previous row,Next row,First row,None,A,LAG reads prior row.,1,True
SQL,Hard,Materialized view stores?,Physical data,Only SQL,Index,Trigger,A,Stores results.,1,True
SQL,Hard,Explain Analyze is used for?,Query execution plan,Backup,Security,Replication,A,Performance tuning.,1,True
SQL,Hard,Composite index includes?,Multiple columns,One column,Views,Rows,A,Composite index.,1,True
SQL,Hard,Covering index?,Contains needed columns,Backs up DB,Encrypts,Groups,A,Avoids table lookup.,1,True
SQL,Hard,Deadlock occurs when?,Transactions wait forever,DB stops,Index missing,Null exists,A,Circular waits.,1,True
SQL,Hard,VACUUM in PostgreSQL?,Reclaims storage,Creates table,Indexes,Deletes DB,A,Vacuum cleans dead tuples.,1,True
SQL,Hard,ANALYZE updates?,Statistics,Rows,Constraints,Views,A,Planner statistics.,1,True
SQL,Hard,Partitioning improves?,Large table management,Syntax,Security only,Joins,A,Partitions large tables.,1,True
SQL,Hard,JSONB in PostgreSQL?,Binary JSON,XML,CSV,Index,A,Efficient JSON storage.,1,True
SQL,Hard,Which join may produce Cartesian product?,CROSS JOIN,INNER,LEFT,RIGHT,A,Cross join.,1,True
SQL,Hard,Execution order starts with?,FROM,SELECT,ORDER BY,LIMIT,A,Logical processing begins FROM.,1,True
SQL,Hard,Stored procedure differs from function by?,Can manage transactions,Always returns value,No parameters,None,A,Procedures can control transactions.,1,True
SQL,Hard,Trigger executes?,Automatically on events,Manually,On startup,Weekly,A,Triggers fire automatically.,1,True
SQL,Hard,EXPLAIN command?,Shows plan,Deletes,Updates,Creates,A,Execution plan.,1,True
SQL,Hard,Bitmap index best for?,Low-cardinality,High-cardinality,Text,JSON,A,Common DB concept.,1,True
SQL,Hard,Correlated subquery?,Depends on outer query,Independent,Recursive,Indexed,A,Uses outer row.,1,True
SQL,Hard,MERGE statement used for?,Upsert,Delete DB,Create view,Index,A,Merge synchronizes data.,1,True
SQL,Hard,OFFSET used with?,LIMIT,GROUP,HAVING,CASE,A,Pagination.,1,True
SQL,Hard,NTILE() does?,Buckets rows,Deletes,Indexes,Sorts,A,Splits into groups.,1,True
SQL,Hard,FIRST_VALUE() returns?,First row in window,First table,Index,Column,A,Window function.,1,True
SQL,Hard,LAST_VALUE() returns?,Last row in window,Last table,Index,Column,A,Window function.,1,True
SQL,Hard,Query optimization mainly aims to?,Reduce execution time,Increase rows,Remove indexes,Add nulls,A,Optimization improves performance.,1,True
